Year,RU,F_System,State,Mileage,Lane_Miles,VMT,Fatalities
1980,Urban,Other Freeway and Expressway,Illinois,86,483,720000000,672
1980,Urban,Other Freeway and Expressway,Indiana,125,0,637000000,6
1980,Urban,Other Freeway and Expressway,Iowa,0,0,0,0
1980,Urban,Other Freeway and Expressway,Kansas,77,337,391000000,4
1980,Urban,Other Freeway and Expressway,Kentucky,64,263,311000000,9
1980,Urban,Other Freeway and Expressway,Louisiana,4,234,17000000,0
1980,Urban,Other Freeway and Expressway,Maine,32,1146,98000000,0
1980,Urban,Other Freeway and Expressway,Maryland,135,543,1516000000,27
1980,Urban,Other Freeway and Expressway,Massachusetts,275,153,3239000000,35
1980,Urban,Other Freeway and Expressway,Michigan,194,862,2396000000,30
1980,Urban,Other Freeway and Expressway,Minnesota,103,558,1188000000,7
1980,Urban,Other Freeway and Expressway,Mississippi,71,892,257000000,7
1980,Urban,Other Freeway and Expressway,Missouri,245,232,1568000000,33
1980,Urban,Other Freeway and Expressway,Montana,0,0,0,0
1980,Urban,Other Freeway and Expressway,Nebraska,3,103,30000000,1
1980,Urban,Other Freeway and Expressway,Nevada,14,722,106000000,0
1980,Urban,Other Freeway and Expressway,New Hampshire,22,1266,177000000,5
1980,Urban,Other Freeway and Expressway,New Jersey,270,0,4496000000,62
1980,Urban,Other Freeway and Expressway,New Mexico,0,3264,0,0
1980,Urban,Other Freeway and Expressway,New York,730,0,9170000000,274
1980,Urban,Other Freeway and Expressway,North Carolina,183,19,1534000000,30
1980,Urban,Other Freeway and Expressway,North Dakota,0,65,0,0
1980,Urban,Other Freeway and Expressway,Ohio,338,1394,2586000000,37
1980,Urban,Other Freeway and Expressway,Oklahoma,171,0,1155000000,12
1980,Urban,Other Freeway and Expressway,Oregon,58,242,488000000,6
1980,Urban,Other Freeway and Expressway,Pennsylvania,336,1296,2779000000,26
1980,Urban,Other Freeway and Expressway,Rhode Island,62,270,295000000,8
1980,Urban,Other Freeway and Expressway,South Carolina,7,28,26000000,2
1980,Urban,Other Freeway and Expressway,South Dakota,4,13,20000000,0
1980,Urban,Other Freeway and Expressway,Tennessee,36,134,212000000,5
1980,Urban,Other Freeway and Expressway,Texas,600,2737,7357000000,186
1980,Urban,Other Freeway and Expressway,Utah,6,30,78000000,4
1980,Urban,Other Freeway and Expressway,Vermont,6,516,15000000,0
1980,Urban,Other Freeway and Expressway,Virginia,148,19,1316000000,11
1980,Urban,Other Freeway and Expressway,Washington,228,802,1506000000,29
1980,Urban,Other Freeway and Expressway,West Virginia,54,617,246000000,5
1980,Urban,Other Freeway and Expressway,Wisconsin,157,172,1257000000,3
1980,Urban,Other Freeway and Expressway,Wyoming,28,112,108000000,0
1980,Urban,Other Principal Arterial,Alabama,925,3151,4557000000,62
1980,Urban,Other Principal Arterial,Alaska,80,134,304000000,6
1980,Urban,Other Principal Arterial,Arizona,390,1672,3559000000,139
1980,Urban,Other Principal Arterial,Arkansas,583,1313,1873000000,20
1980,Urban,Other Principal Arterial,California,5975,20162,28433000000,644
1980,Urban,Other Principal Arterial,Colorado,487,1783,3294000000,100
1980,Urban,Other Principal Arterial,Connecticut,667,1639,2935000000,131
1980,Urban,Other Principal Arterial,Delaware,114,301,751000000,16
